Ymd,mgii,uncertainty,source
1978-11-07,0.16402,4.88E-04,1
1978-11-08,0.16382,4.85E-04,1
1978-11-09,0.16373,4.84E-04,1
1978-11-10,0.16334,4.78E-04,1
1978-11-11,0.16214,0.00139,17
1978-11-12,0.16275,4.70E-04,1
1978-11-13,0.16157,4.55E-04,1
1978-11-14,0.1605,4.42E-04,1
1978-11-15,0.15937,0.00121,17
1978-11-16,0.159,0.00119,17
1978-11-17,0.15873,0.00117,17
1978-11-18,0.15853,0.00116,17
1978-11-19,0.15972,4.33E-04,1
1978-11-20,0.15913,4.26E-04,1
1978-11-21,0.15811,0.00113,17
1978-11-22,0.15874,4.22E-04,1
1978-11-23,0.15874,4.22E-04,1
1978-11-24,0.15942,4.29E-04,1
1978-11-25,0.16011,4.37E-04,1
1978-11-26,0.16109,4.49E-04,1
1978-11-27,0.16226,4.64E-04,1
1978-11-28,0.16236,4.65E-04,1
1978-11-29,0.16203,0.00139,17
1978-11-30,0.16278,0.00144,17
1978-12-01,0.1651,5.04E-04,1
1978-12-02,0.16578,5.14E-04,1
1978-12-03,0.16367,0.00149,17
1978-12-04,0.165,5.02E-04,1
1978-12-05,0.16568,5.12E-04,1
1978-12-06,0.1649,5.01E-04,1
1978-12-07,0.16519,5.05E-04,1
1978-12-08,0.16441,4.94E-04,1
1978-12-09,0.16422,4.91E-04,1
1978-12-10,0.16445,0.00155,17
1978-12-11,0.16458,0.00156,17
1978-12-12,0.16441,4.94E-04,1
1978-12-13,0.16431,4.92E-04,1
1978-12-14,0.16373,4.84E-04,1
1978-12-15,0.16286,0.00144,17
1978-12-16,0.16294,4.73E-04,1
1978-12-17,0.15893,4.24E-04,1
1978-12-18,0.16109,4.49E-04,1
1978-12-19,0.16011,4.37E-04,1
1978-12-20,0.15991,4.35E-04,1
1978-12-21,0.15639,3.99E-04,1
1978-12-22,0.15786,4.13E-04,1
1978-12-23,0.15863,0.00117,17
1978-12-24,0.15903,4.25E-04,1
1978-12-25,0.16079,4.45E-04,1
1978-12-26,0.16177,4.58E-04,1
1978-12-27,0.1613,0.00134,17
1978-12-28,0.16441,4.94E-04,1
1978-12-29,0.16568,5.12E-04,1
1978-12-30,0.16627,5.21E-04,1
1978-12-31,0.1652,0.0016,17
1979-01-01,0.16774,5.44E-04,1
1979-01-02,0.16813,5.50E-04,1
1979-01-03,0.16911,5.66E-04,1
1979-01-04,0.16789,0.00178,17
1979-01-05,0.16862,5.58E-04,1
1979-01-06,0.16715,5.35E-04,1
1979-01-07,0.16823,5.52E-04,1
1979-01-08,0.16777,0.00177,17
1979-01-09,0.16793,5.47E-04,1
1979-01-10,0.16686,5.30E-04,1
1979-01-11,0.16665,0.0017,17
1979-01-12,0.16686,5.30E-04,1
1979-01-13,0.16715,5.35E-04,1
1979-01-14,0.16627,5.21E-04,1
1979-01-15,0.16559,5.11E-04,1
1979-01-16,0.16451,0.00155,17
1979-01-17,0.16418,0.00153,17
1979-01-18,0.16353,4.81E-04,1
1979-01-19,0.16334,4.78E-04,1
1979-01-20,0.16487,0.00157,17
1979-01-21,0.16549,5.09E-04,1
1979-01-22,0.16637,0.00168,17
1979-01-23,0.16803,5.48E-04,1
1979-01-24,0.16901,5.64E-04,1
1979-01-25,0.16921,5.67E-04,1
1979-01-26,0.16789,0.00178,17
1979-01-27,0.16784,5.45E-04,1
1979-01-28,0.16705,5.33E-04,1
1979-01-29,0.16647,5.24E-04,1
1979-01-30,0.16705,5.33E-04,1
1979-01-31,0.16656,5.26E-04,1
1979-02-01,0.16846,0.00182,17
1979-02-02,0.16823,5.52E-04,1
1979-02-03,0.1694,5.71E-04,1
1979-02-04,0.1694,5.71E-04,1
1979-02-05,0.16999,5.80E-04,1
1979-02-06,0.16974,0.00191,17
1979-02-07,0.17048,5.88E-04,1
1979-02-08,0.17097,5.97E-04,1
1979-02-09,0.16958,0.0019,17
1979-02-10,0.16872,5.59E-04,1
1979-02-11,0.16725,5.36E-04,1
1979-02-12,0.16715,5.35E-04,1
1979-02-13,0.16817,0.0018,17
1979-02-14,0.16617,5.20E-04,1
1979-02-15,0.16686,5.30E-04,1
1979-02-16,0.16735,5.38E-04,1
1979-02-17,0.16872,5.59E-04,1
1979-02-18,0.16958,0.0019,17
1979-02-19,0.17038,5.87E-04,1
1979-02-20,0.16999,5.80E-04,1
1979-02-21,0.16841,0.00182,17
1979-02-22,0.16754,5.41E-04,1
1979-02-23,0.16676,5.29E-04,1
1979-02-24,0.16549,5.09E-04,1
1979-02-25,0.16624,0.00167,17
1979-02-26,0.16471,4.98E-04,1
1979-02-27,0.16568,5.12E-04,1
1979-02-28,0.16637,5.23E-04,1
1979-03-01,0.16696,5.32E-04,1
1979-03-02,0.16891,5.63E-04,1
1979-03-03,0.1695,5.72E-04,1
1979-03-04,0.16979,5.77E-04,1
1979-03-05,0.16845,0.00182,17
1979-03-06,0.1694,5.71E-04,1
1979-03-07,0.16901,5.64E-04,1
1979-03-08,0.16823,5.52E-04,1
1979-03-09,0.16791,0.00178,17
1979-03-10,0.16705,5.33E-04,1
1979-03-11,0.16723,0.00174,17
1979-03-12,0.16833,5.53E-04,1
1979-03-13,0.16842,5.55E-04,1
1979-03-14,0.16882,5.61E-04,1
1979-03-15,0.1693,5.69E-04,1
1979-03-16,0.16663,0.00169,17
1979-03-17,0.16662,0.00169,17
1979-03-18,0.17009,5.82E-04,1
1979-03-19,0.1695,5.72E-04,1
1979-03-20,0.16833,5.53E-04,1
1979-03-21,0.16723,0.00174,17
1979-03-22,0.16715,5.35E-04,1
1979-03-23,0.1681,0.0018,17
1979-03-24,0.16705,5.33E-04,1
1979-03-25,0.16686,5.30E-04,1
1979-03-26,0.16705,5.33E-04,1
1979-03-27,0.16774,5.44E-04,1
1979-03-28,0.16793,5.47E-04,1
1979-03-29,0.1694,5.71E-04,1
1979-03-30,0.17018,5.83E-04,1
1979-03-31,0.17155,6.06E-04,1
1979-04-01,0.17165,6.08E-04,1
1979-04-02,0.17126,6.02E-04,1
1979-04-03,0.17058,5.90E-04,1
1979-04-04,0.16823,5.52E-04,1
1979-04-05,0.16716,0.00173,17
1979-04-06,0.16461,4.96E-04,1
1979-04-07,0.16412,4.89E-04,1
1979-04-08,0.16373,4.84E-04,1
1979-04-09,0.16324,4.77E-04,1
1979-04-10,0.16382,4.85E-04,1
1979-04-11,0.16441,4.94E-04,1
1979-04-12,0.16541,0.00161,17
1979-04-13,0.16784,5.45E-04,1
1979-04-14,0.16597,0.00165,17
1979-04-15,0.16618,0.00166,17
1979-04-16,0.16754,5.41E-04,1
1979-04-17,0.16666,5.27E-04,1
1979-04-18,0.16519,5.05E-04,1
1979-04-19,0.16402,4.88E-04,1
1979-04-20,0.16226,4.64E-04,1
1979-04-21,0.16177,4.58E-04,1
1979-04-22,0.16377,0.0015,17
1979-04-23,0.16148,4.54E-04,1
1979-04-24,0.16407,0.00152,17
1979-04-25,0.1646,0.00156,17
1979-04-26,0.16527,0.0016,17
1979-04-27,0.16793,5.47E-04,1
1979-04-28,0.16872,5.59E-04,1
1979-04-29,0.16823,5.52E-04,1
1979-04-30,0.16724,0.00174,17
1979-05-01,0.16764,5.42E-04,1
1979-05-02,0.16656,5.26E-04,1
1979-05-03,0.1649,5.01E-04,1
1979-05-04,0.16581,0.00164,17
1979-05-05,0.16552,0.00162,17
1979-05-06,0.16373,4.84E-04,1
1979-05-07,0.16402,4.88E-04,1
1979-05-08,0.16552,0.00162,17
1979-05-09,0.16637,5.23E-04,1
1979-05-10,0.16803,5.48E-04,1
1979-05-11,0.16833,5.53E-04,1
1979-05-12,0.16712,0.00173,17
1979-05-13,0.1693,5.69E-04,1
1979-05-14,0.16901,5.64E-04,1
1979-05-15,0.16862,5.58E-04,1
1979-05-16,0.16715,5.35E-04,1
1979-05-17,0.16559,5.11E-04,1
1979-05-18,0.16412,4.89E-04,1
1979-05-19,0.16343,4.80E-04,1
1979-05-20,0.16439,0.00154,17
1979-05-21,0.1641,0.00152,17
1979-05-22,0.16275,4.70E-04,1
1979-05-23,0.16413,0.00153,17
1979-05-24,0.16444,0.00155,17
1979-05-25,0.16715,5.35E-04,1
1979-05-26,0.16696,5.32E-04,1
1979-05-27,0.16637,5.23E-04,1
1979-05-28,0.16547,0.00162,17
1979-05-29,0.16551,0.00162,17
1979-05-30,0.1651,5.04E-04,1
1979-05-31,0.16441,4.94E-04,1
1979-06-01,0.16632,0.00167,17
1979-06-02,0.16549,5.09E-04,1
1979-06-03,0.16676,5.29E-04,1
1979-06-04,0.16921,5.67E-04,1
1979-06-05,0.16939,0.00189,17
1979-06-06,0.17067,5.92E-04,1
1979-06-07,0.17244,6.22E-04,1
1979-06-08,0.17028,0.00195,17
1979-06-09,0.17001,0.00193,17
1979-06-10,0.16979,5.77E-04,1
1979-06-11,0.16764,5.42E-04,1
1979-06-12,0.16647,5.24E-04,1
1979-06-13,0.16622,0.00167,17
1979-06-14,0.16373,4.84E-04,1
1979-06-15,0.16285,4.72E-04,1
1979-06-16,0.16285,4.72E-04,1
1979-06-17,0.16334,0.00147,17
1979-06-18,0.16294,4.73E-04,1
1979-06-19,0.16246,4.67E-04,1
1979-06-20,0.16288,0.00144,17
1979-06-21,0.16288,0.00144,17
1979-06-22,0.16431,4.92E-04,1
1979-06-23,0.16373,4.84E-04,1
1979-06-24,0.16294,0.00145,17
