YYDD,Photons,Type
1947045,6.29,5
1947046,6.2,5
1947047,6.1,5
1947048,5.93,5
1947049,5.69,5
1947050,5.41,5
1947051,5.23,5
1947052,5.17,5
1947053,5.17,5
1947054,5.17,5
1947055,5.3,5
1947056,5.33,5
1947057,5.49,5
1947058,5.66,5
1947059,5.98,5
1947060,6.21,5
1947061,6.37,5
1947062,6.53,5
1947063,6.68,5
1947064,6.78,5
1947065,6.88,5
1947066,7.01,5
1947067,7.11,5
1947068,7.12,5
1947069,6.98,5
1947070,6.88,5
1947071,6.99,5
1947072,6.86,5
1947073,6.56,5
1947074,5.99,5
1947075,5.64,5
1947076,5.35,5
1947077,5.07,5
1947078,4.89,5
1947079,4.85,5
1947080,4.94,5
1947081,5.04,5
1947082,5.11,5
1947083,5.12,5
1947084,5.32,5
1947085,5.53,5
1947086,5.77,5
1947087,5.86,5
1947088,5.93,5
1947089,6.04,5
1947090,6.09,5
1947091,6.15,5
1947092,6.23,5
1947093,6.31,5
1947094,6.46,5
1947095,6.62,5
1947096,6.86,5
1947097,6.98,5
1947098,6.91,5
1947099,6.74,5
1947100,6.55,5
1947101,6.35,5
1947102,6.12,5
1947103,5.87,5
1947104,5.73,5
1947105,5.64,5
1947106,5.62,5
1947107,5.6,5
1947108,5.59,5
1947109,5.58,5
1947110,5.58,5
1947111,5.6,5
1947112,5.66,5
1947113,5.8,5
1947114,5.95,5
1947115,6.15,5
1947116,6.26,5
1947117,6.35,5
1947118,6.35,5
1947119,6.36,5
1947120,6.33,5
1947121,6.28,5
1947122,6.25,5
1947123,6.27,5
1947124,6.26,5
1947125,6.17,5
1947126,6.11,5
1947127,6.04,5
1947128,6.04,5
1947129,6.02,5
1947130,6.02,5
1947131,6.06,5
1947132,6.12,5
1947133,6.05,5
1947134,5.94,5
1947135,5.89,5
1947136,5.97,5
1947137,6.08,5
1947138,6.1,5
1947139,6.17,5
1947140,6.31,5
1947141,6.38,5
1947142,6.45,5
1947143,6.43,5
1947144,6.46,5
1947145,6.42,5
1947146,6.38,5
1947147,6.43,5
1947148,6.47,5
1947149,6.47,5
1947150,6.33,5
1947151,6.21,5
1947152,6.15,5
1947153,6.09,5
1947154,6.02,5
1947155,5.95,5
1947156,5.93,5
1947157,5.97,5
1947158,6.02,5
1947159,6.07,5
1947160,6.07,5
1947161,5.96,5
1947162,5.76,5
1947163,5.62,5
1947164,5.59,5
1947165,5.65,5
1947166,5.67,5
1947167,5.74,5
1947168,5.89,5
1947169,6.08,5
1947170,6.19,5
1947171,6.25,5
1947172,6.26,5
1947173,6.28,5
1947174,6.23,5
1947175,6.19,5
1947176,6.11,5
1947177,6.04,5
1947178,6.01,5
1947179,6.0,5
1947180,5.97,5
1947181,5.89,5
1947182,5.83,5
1947183,5.81,5
1947184,5.81,5
1947185,5.82,5
1947186,5.83,5
1947187,5.84,5
1947188,5.84,5
1947189,5.81,5
1947190,5.8,5
